NO,Result,Reason
AB_3711,No URL found,No explicit http/https URL found
AB_3712,Yes,Study data or materials available at URL
AB_3713,No URL found,No explicit http/https URL found
AB_3714,Yes,Study data or materials available at URL
AB_3715,Yes,Study data or materials available at URL
AB_3716,Yes,Study data or materials available at URL
AB_3717,Yes,Study data or materials available at URL
AB_3718,Yes,Study data or materials available at URL
AB_3719,Yes,Study data or materials available at URL
AB_3720,Yes,Study data or materials available at URL
