NO,Result,Reason
AB_3991,Yes,Study data or materials available at URL
AB_3992,Yes,Study data or materials available at URL
AB_3993,Yes,URL plausibly provides research-related outputs
AB_3994,Yes,Study data or materials available at URL
AB_3995,Yes,URL plausibly provides research-related outputs
AB_3996,Yes,Study data or materials available at URL
AB_3997,Yes,Study data or materials available at URL
AB_3998,Yes,Study data or materials available at URL
AB_3999,Yes,URL plausibly provides research-related outputs
AB_4000,Yes,Study data or materials available at URL
