NO,Result,Reason
AB_1921,Yes,Study-related resources indicated via URL
AB_1922,Yes,Study-related resources indicated via URL
AB_1923,No URL found,No explicit http/https URL found
AB_1924,Yes,Study-related resources indicated via URL
AB_1925,Yes,Study-related resources indicated via URL
AB_1926,Yes,Study-related resources indicated via URL
AB_1927,Yes,Study-related resources indicated via URL
AB_1928,Yes,Study-related resources indicated via URL
AB_1929,Yes,Study-related resources indicated via URL
AB_1930,Yes,Study-related resources indicated via URL
