NO,Result,Reason
AB_3811,Yes,Study data or materials available at URL
AB_3812,Yes,Study data or materials available at URL
AB_3813,Yes,Study data or materials available at URL
AB_3814,Yes,Study data or materials available at URL
AB_3815,Yes,Study data or materials available at URL
AB_3816,Yes,Study data or materials available at URL
AB_3817,Yes,Study data or materials available at URL
AB_3818,Yes,Study data or materials available at URL
AB_3819,Yes,Study data or materials available at URL
AB_3820,Yes,Study data or materials available at URL
