NO,Result,Reason
AB_3411,Yes,Study data or materials available at URL
AB_3412,Yes,Study data or materials available at URL
AB_3413,Yes,Study data or materials available at URL
AB_3414,Yes,Study data or materials available at URL
AB_3415,Yes,Study data or materials available at URL
AB_3416,Yes,Study data or materials available at URL
AB_3417,Yes,Study data or materials available at URL
AB_3418,Yes,Study data or materials available at URL
AB_3419,Yes,Study data or materials available at URL
AB_3420,Yes,Study data or materials available at URL
