NO,Result,Reason
AB_2091,Yes,Study-related resources indicated via URL
AB_2092,Yes,Study-related resources indicated via URL
AB_2093,Yes,Study-related resources indicated via URL
AB_2094,Yes,Study-related resources indicated via URL
AB_2095,Yes,Study-related resources indicated via URL
AB_2096,Yes,Study-related resources indicated via URL
AB_2097,Yes,Study-related resources indicated via URL
AB_2098,Yes,Study-related resources indicated via URL
AB_2099,Yes,Study-related resources indicated via URL
AB_2100,Yes,Study-related resources indicated via URL
