NO,Result,Reason
AB_1391,Yes,URL plausibly provides research-related outputs
AB_1392,Yes,URL plausibly provides research-related outputs
AB_1393,Yes,"Study data, code, or materials indicated at URL"
AB_1394,Yes,"Study data, code, or materials indicated at URL"
AB_1395,Yes,"Study data, code, or materials indicated at URL"
AB_1396,Yes,URL plausibly provides research-related outputs
AB_1397,Yes,"Study data, code, or materials indicated at URL"
AB_1398,Yes,URL plausibly provides research-related outputs
AB_1399,Yes,"Study data, code, or materials indicated at URL"
AB_1400,Yes,URL plausibly provides research-related outputs
