NO,Result,Reason
AB_3491,Yes,Study data or materials available at URL
AB_3492,Yes,Study data or materials available at URL
AB_3493,Yes,Study data or materials available at URL
AB_3494,Yes,Study data or materials available at URL
AB_3495,No,URL present but no research outputs indicated
AB_3496,Yes,Study data or materials available at URL
AB_3497,Yes,Study data or materials available at URL
AB_3498,Yes,Study data or materials available at URL
AB_3499,Yes,Study data or materials available at URL
AB_3500,Yes,Study data or materials available at URL
