NO,Result,Reason
AB_0911,No,URL explicitly refers to third-party registry without study outputs
AB_0912,Yes,Study resources available at project website URL
AB_0913,No,URL explicitly refers to third-party registry without study outputs
AB_0914,Yes,Study data or code available at repository URL
AB_0915,Yes,Research-related materials plausibly available at URL
AB_0916,Yes,Study data or code available at URL
AB_0917,Yes,Study data or code available at URL
AB_0918,Yes,Study data or code available at URL
AB_0919,Yes,Research-related materials plausibly available at URL
AB_0920,Yes,Study data or code available at URL
