NO,Result,Reason
AB_2081,Yes,Study-related resources indicated via URL
AB_2082,Yes,Study-related resources indicated via URL
AB_2083,Yes,Study-related resources indicated via URL
AB_2084,Yes,Study-related resources indicated via URL
AB_2085,Yes,Study-related resources indicated via URL
AB_2086,Yes,Study-related resources indicated via URL
AB_2087,Yes,Study-related resources indicated via URL
AB_2088,Yes,Study-related resources indicated via URL
AB_2089,Yes,Study-related resources indicated via URL
AB_2090,Yes,Study-related resources indicated via URL
