NO,Result,Reason
AB_1221,Yes,"Study data, code, or materials indicated at URL"
AB_1222,Yes,"Study data, code, or materials indicated at URL"
AB_1223,Yes,"Study data, code, or materials indicated at URL"
AB_1224,Yes,"Study data, code, or materials indicated at URL"
AB_1225,Yes,"Study data, code, or materials indicated at URL"
AB_1226,Yes,"Study data, code, or materials indicated at URL"
AB_1227,Yes,"Study data, code, or materials indicated at URL"
AB_1228,Yes,URL plausibly provides research-related outputs
AB_1229,Yes,"Study data, code, or materials indicated at URL"
AB_1230,Yes,"Study data, code, or materials indicated at URL"
