NO,Result,Reason
AB_0261,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0262,No URL found,No explicit http/https URL found
AB_0263,Yes,Study data or materials available at repository URL
AB_0264,Yes,Study data or materials available at repository URL
AB_0265,Yes,Study data or materials available at repository URL
AB_0266,Yes,Study data or materials available at repository URL
AB_0267,Yes,Study data or materials available at repository URL
AB_0268,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0269,Yes,Study data or materials available at repository URL
AB_0270,Yes,Study data or materials available at repository URL
