NO,Result,Reason
AB_3951,Yes,URL plausibly provides research-related outputs
AB_3952,Yes,Study data or materials available at URL
AB_3953,Yes,Study data or materials available at URL
AB_3954,Yes,Study data or materials available at URL
AB_3955,Yes,URL plausibly provides research-related outputs
AB_3956,Yes,Study data or materials available at URL
AB_3957,Yes,URL plausibly provides research-related outputs
AB_3958,Yes,URL plausibly provides research-related outputs
AB_3959,Yes,Study data or materials available at URL
AB_3960,Yes,Study data or materials available at URL
