NO,Result,Reason
AB_3381,Yes,Study data or materials available at URL
AB_3382,Yes,Study data or materials available at URL
AB_3383,Yes,Study data or materials available at URL
AB_3384,Yes,Study data or materials available at URL
AB_3385,Yes,Study data or materials available at URL
AB_3386,Yes,Study data or materials available at URL
AB_3387,Yes,Study data or materials available at URL
AB_3388,No,URL present but no research outputs indicated
AB_3389,Yes,Study data or materials available at URL
AB_3390,Yes,Study data or materials available at URL
