NO,Result,Reason
AB_3481,Yes,Study data or materials available at URL
AB_3482,Yes,Study data or materials available at URL
AB_3483,Yes,Study data or materials available at URL
AB_3484,Yes,Study data or materials available at URL
AB_3485,Yes,Study data or materials available at URL
AB_3486,Yes,Study data or materials available at URL
AB_3487,Yes,Study data or materials available at URL
AB_3488,Yes,Study data or materials available at URL
AB_3489,Yes,Study data or materials available at URL
AB_3490,Yes,Study data or materials available at URL
