NO,Result,Reason
AB_0621,Yes,Research-related materials plausibly available at URL
AB_0622,Yes,Study resources available at project website URL
AB_0623,Yes,Research-related materials plausibly available at URL
AB_0624,Yes,Study data or code available at repository URL
AB_0625,No URL found,No explicit http/https URL found
AB_0626,Yes,Research-related materials plausibly available at URL
AB_0627,Yes,Study data or code available at repository URL
AB_0628,Yes,Study data or code available at repository URL
AB_0629,Yes,Study data or code available at repository URL
AB_0630,Yes,Research-related materials plausibly available at URL
