NO,Result,Reason
AB_3731,Yes,Study data or materials available at URL
AB_3732,Yes,Study data or materials available at URL
AB_3733,Yes,Study data or materials available at URL
AB_3734,Yes,Study data or materials available at URL
AB_3735,Yes,Study data or materials available at URL
AB_3736,Yes,Study data or materials available at URL
AB_3737,Yes,Study data or materials available at URL
AB_3738,Yes,Study data or materials available at URL
AB_3739,Yes,Study data or materials available at URL
AB_3740,Yes,Study data or materials available at URL
