NO,Result,Reason
AB_3181,Yes,Study data or materials available at URL
AB_3182,Yes,Study data or materials available at URL
AB_3183,No,URL present but no research outputs indicated
AB_3184,Yes,Study data or materials available at URL
AB_3185,Yes,Study data or materials available at URL
AB_3186,Yes,Study data or materials available at URL
AB_3187,No,URL present but no research outputs indicated
AB_3188,Yes,Study data or materials available at URL
AB_3189,Yes,Study data or materials available at URL
AB_3190,Yes,Study data or materials available at URL
