NO,Result,Reason
AB_1301,Yes,URL plausibly provides research-related outputs
AB_1302,Yes,"Study data, code, or materials indicated at URL"
AB_1303,No URL found,No explicit http/https URL found
AB_1304,No,"DOI URL appears to refer only to the article, not study outputs"
AB_1305,Yes,"Study data, code, or materials indicated at URL"
AB_1306,Yes,"Study data, code, or materials indicated at URL"
AB_1307,Yes,URL plausibly provides research-related outputs
AB_1308,Yes,URL plausibly provides research-related outputs
AB_1309,Yes,"Study data, code, or materials indicated at URL"
AB_1310,Yes,"Study data, code, or materials indicated at URL"
