NO,Result,Reason
AB_0201,Yes,Study data or materials available at repository URL
AB_0202,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0203,Yes,Study data or materials available at repository URL
AB_0204,Yes,Study data or materials available at repository URL
AB_0205,Yes,Study data or materials available at repository URL
AB_0206,Yes,Study data or materials available at repository URL
AB_0207,Yes,Study data or materials available at repository URL
AB_0208,Yes,Study data or materials available at repository URL
AB_0209,Yes,Study data or materials available at repository URL
AB_0210,Yes,Study data or materials available at repository URL
