NO,Result,Reason
AB_0841,Yes,Study data or code available at URL
AB_0842,Yes,Study data or code available at URL
AB_0843,Yes,Study data or code available at URL
AB_0844,Yes,Study data or code available at URL
AB_0845,Yes,Study data or code available at URL
AB_0846,Yes,Study data or code available at URL
AB_0847,Yes,Study data or code available at URL
AB_0848,Yes,Research-related materials plausibly available at URL
AB_0849,Yes,Research-related materials plausibly available at URL
AB_0850,Yes,Study data or code available at URL
