NO,Result,Reason
AB_0651,Yes,Research-related materials plausibly available at URL
AB_0652,No URL found,No explicit http/https URL found
AB_0653,Yes,Study data or code available at URL
AB_0654,Yes,Study data or code available at repository URL
AB_0655,Yes,Study data or code available at URL
AB_0656,Yes,Study data or code available at URL
AB_0657,No,URL explicitly refers to third-party registry without study outputs
AB_0658,Yes,Study data or code available at URL
AB_0659,Yes,Study data or code available at URL
AB_0660,Yes,Study data or code available at URL
