NO,Result,Reason
AB_0451,Yes,Study data or materials available at repository URL
AB_0452,Yes,Study data or materials available at repository URL
AB_0453,Yes,Study data or materials available at repository URL
AB_0454,Yes,Study data or materials available at repository URL
AB_0455,Yes,Study data or materials available at repository URL
AB_0456,Yes,Study data or materials available at repository URL
AB_0457,Yes,Study data or materials available at repository URL
AB_0458,Yes,Study data or materials available at repository URL
AB_0459,Yes,Study data or materials available at repository URL
AB_0460,Yes,Study data or materials available at repository URL
