NO,Result,Reason
AB_3351,Yes,Study data or materials available at URL
AB_3352,Yes,Study data or materials available at URL
AB_3353,Yes,Study data or materials available at URL
AB_3354,Yes,Study data or materials available at URL
AB_3355,Yes,Study data or materials available at URL
AB_3356,Yes,Study data or materials available at URL
AB_3357,Yes,Study data or materials available at URL
AB_3358,Yes,Study data or materials available at URL
AB_3359,Yes,Study data or materials available at URL
AB_3360,Yes,Study data or materials available at URL
