NO,Result,Reason
AB_3771,Yes,Study data or materials available at URL
AB_3772,Yes,Study data or materials available at URL
AB_3773,Yes,Study data or materials available at URL
AB_3774,Yes,Study data or materials available at URL
AB_3775,Yes,Study data or materials available at URL
AB_3776,Yes,Study data or materials available at URL
AB_3777,Yes,Study data or materials available at URL
AB_3778,Yes,Study data or materials available at URL
AB_3779,Yes,Study data or materials available at URL
AB_3780,Yes,Study data or materials available at URL
