NO,Result,Reason
AB_0421,Yes,Study data or materials available at repository URL
AB_0422,Yes,Supporting materials provided via DOI URL
AB_0423,Yes,Study data or materials available at repository URL
AB_0424,Yes,Study data or materials available at repository URL
AB_0425,Yes,Study data or materials available at repository URL
AB_0426,Yes,Study data or materials available at repository URL
AB_0427,Yes,Study data or materials available at repository URL
AB_0428,Yes,Study data or materials available at repository URL
AB_0429,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0430,Yes,Study data or materials available at repository URL
