NO,Result,Reason
AB_3681,Yes,Study data or materials available at URL
AB_3682,Yes,Study data or materials available at URL
AB_3683,Yes,Study data or materials available at URL
AB_3684,Yes,Study data or materials available at URL
AB_3685,Yes,Study data or materials available at URL
AB_3686,Yes,Study data or materials available at URL
AB_3687,Yes,Study data or materials available at URL
AB_3688,Yes,Study data or materials available at URL
AB_3689,Yes,Study data or materials available at URL
AB_3690,Yes,Study data or materials available at URL
