NO,Result,Reason
AB_1001,Yes,"Study data, code, or materials indicated at URL"
AB_1002,Yes,"Study data, code, or materials indicated at URL"
AB_1003,Yes,"Study data, code, or materials indicated at URL"
AB_1004,Yes,"Study data, code, or materials indicated at URL"
AB_1005,Yes,URL plausibly provides research-related outputs
AB_1006,Yes,"Study data, code, or materials indicated at URL"
AB_1007,Yes,"Study data, code, or materials indicated at URL"
AB_1008,Yes,URL plausibly provides research-related outputs
AB_1009,Yes,URL plausibly provides research-related outputs
AB_1010,Yes,URL plausibly provides research-related outputs
