NO,Result,Reason
AB_2211,Yes,"Study data, code, or materials indicated at URL"
AB_2212,Yes,"Study data, code, or materials indicated at URL"
AB_2213,Yes,"Study data, code, or materials indicated at URL"
AB_2214,Yes,URL present; outputs plausibly associated by default rule
AB_2215,No,URL explicitly refers to third-party or non-output resource
AB_2216,No,URL explicitly refers to third-party or non-output resource
AB_2217,Yes,"Study data, code, or materials indicated at URL"
AB_2218,Yes,"Study data, code, or materials indicated at URL"
AB_2219,Yes,"Study data, code, or materials indicated at URL"
AB_2220,Yes,"Study data, code, or materials indicated at URL"
