NO,Result,Reason
AB_1611,Yes,Study code available at GitHub repository URL
AB_1612,Yes,Study-related resources available at URL
AB_1613,Yes,Study code available at GitHub repository URL
AB_1614,Yes,Study code available at GitHub repository URL
AB_1615,Yes,Study code available at GitHub repository URL
AB_1616,Yes,Study-related resources available at URL
AB_1617,Yes,Study code available at GitHub repository URL
AB_1618,Yes,Study-related resources available at URL
AB_1619,Yes,Study code available at GitHub repository URL
AB_1620,Yes,Study-related resources available at URL
