NO,Result,Reason
AB_3341,Yes,Study data or materials available at URL
AB_3342,Yes,Study data or materials available at URL
AB_3343,Yes,Study data or materials available at URL
AB_3344,Yes,Study data or materials available at URL
AB_3345,Yes,Study data or materials available at URL
AB_3346,Yes,Study data or materials available at URL
AB_3347,Yes,Study data or materials available at URL
AB_3348,Yes,Study data or materials available at URL
AB_3349,Yes,Study data or materials available at URL
AB_3350,Yes,Study data or materials available at URL
