NO,Result,Reason
AB_0031,Yes,"Study data, code, or materials available at repository URL"
AB_0032,Yes,"Study data, code, or materials available at repository URL"
AB_0033,Yes,"Study data, code, or materials available at repository URL"
AB_0034,Yes,"Study data, code, or materials available at repository URL"
AB_0035,Yes,"Study data, code, or materials available at repository URL"
AB_0036,Yes,"Study data, code, or materials available at repository URL"
AB_0037,Yes,"Study data, code, or materials available at repository URL"
AB_0038,Yes,"Study data, code, or materials available at repository URL"
AB_0039,Yes,"Study data, code, or materials available at repository URL"
AB_0040,Yes,"Study data, code, or materials available at repository URL"
