NO,Result,Reason
AB_2061,Yes,Study-related resources indicated via URL
AB_2062,Yes,Study-related resources indicated via URL
AB_2063,Yes,Study-related resources indicated via URL
AB_2064,Yes,Study-related resources indicated via URL
AB_2065,Yes,Study-related resources indicated via URL
AB_2066,Yes,Study-related resources indicated via URL
AB_2067,Yes,Study-related resources indicated via URL
AB_2068,Yes,Study-related resources indicated via URL
AB_2069,Yes,Study-related resources indicated via URL
AB_2070,Yes,Study-related resources indicated via URL
