NO,Result,Reason
AB_1931,Yes,Study-related resources indicated via URL
AB_1932,Yes,Study-related resources indicated via URL
AB_1933,Yes,Study-related resources indicated via URL
AB_1934,Yes,Study-related resources indicated via URL
AB_1935,Yes,Study-related resources indicated via URL
AB_1936,Yes,Study-related resources indicated via URL
AB_1937,Yes,Study-related resources indicated via URL
AB_1938,Yes,Study-related resources indicated via URL
AB_1939,No URL found,No explicit http/https URL found
AB_1940,Yes,Study-related resources indicated via URL
