NO,Result,Reason
AB_0231,Yes,Study data or materials available at repository URL
AB_0232,Yes,Study data or materials available at repository URL
AB_0233,Yes,Study data or materials available at repository URL
AB_0234,Yes,Study data or materials available at repository URL
AB_0235,Yes,Study data or materials available at repository URL
AB_0236,Yes,Study data or materials available at repository URL
AB_0237,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0238,Yes,Study data or materials available at repository URL
AB_0239,Yes,Study data or materials available at repository URL
AB_0240,Yes,Study data or materials available at repository URL
