NO,Result,Reason
AB_1421,Yes,"Study data, code, or materials indicated at URL"
AB_1422,Yes,"Study data, code, or materials indicated at URL"
AB_1423,Yes,"Study data, code, or materials indicated at URL"
AB_1424,Yes,"Study data, code, or materials indicated at URL"
AB_1425,No,URL links to general institutional or informational page without outputs
AB_1426,Yes,"Study data, code, or materials indicated at URL"
AB_1427,Yes,URL plausibly provides research-related outputs
AB_1428,Yes,"Study data, code, or materials indicated at URL"
AB_1429,Yes,"Study data, code, or materials indicated at URL"
AB_1430,Yes,URL plausibly provides research-related outputs
