NO,Result,Reason
AB_0311,Yes,Study data or materials available at repository URL
AB_0312,Yes,Study data or materials available at repository URL
AB_0313,Yes,Study data or materials available at repository URL
AB_0314,Yes,Study data or materials available at repository URL
AB_0315,Yes,Study data or materials available at repository URL
AB_0316,Yes,Study data or materials available at repository URL
AB_0317,Yes,Study data or materials available at repository URL
AB_0318,Yes,Study data or materials available at repository URL
AB_0319,Yes,Study data or materials available at repository URL
AB_0320,Yes,Study data or materials available at repository URL
