NO,Result,Reason
AB_2141,Yes,Study-related resources indicated via URL
AB_2142,Yes,Study-related resources indicated via URL
AB_2143,Yes,Study-related resources indicated via URL
AB_2144,Yes,Study-related resources indicated via URL
AB_2145,Yes,Study-related resources indicated via URL
AB_2146,Yes,Study-related resources indicated via URL
AB_2147,Yes,Study-related resources indicated via URL
AB_2148,Yes,Study-related resources indicated via URL
AB_2149,Yes,Study-related resources indicated via URL
AB_2150,Yes,Study-related resources indicated via URL
