NO,Result,Reason
AB_1371,Yes,"Study data, code, or materials indicated at URL"
AB_1372,Yes,"Study data, code, or materials indicated at URL"
AB_1373,Yes,"Study data, code, or materials indicated at URL"
AB_1374,Yes,"Study data, code, or materials indicated at URL"
AB_1375,Yes,"Study data, code, or materials indicated at URL"
AB_1376,Yes,"Study data, code, or materials indicated at URL"
AB_1377,Yes,"Study data, code, or materials indicated at URL"
AB_1378,Yes,"Study data, code, or materials indicated at URL"
AB_1379,Yes,"Study data, code, or materials indicated at URL"
AB_1380,Yes,"Study data, code, or materials indicated at URL"
