NO,Result,Reason
AB_0611,Yes,Study code available at repository URL
AB_0612,No URL found,No explicit http/https URL found
AB_0613,No,URL explicitly refers to third-party registry without study outputs
AB_0614,No URL found,No explicit http/https URL found
AB_0615,No URL found,No explicit http/https URL found
AB_0616,No URL found,No explicit http/https URL found
AB_0617,No URL found,Malformed URL (contains space within URL)
AB_0618,Yes,Study code available at repository URL
AB_0619,No URL found,No explicit http/https URL found
AB_0620,No URL found,No explicit http/https URL found
