NO,Result,Reason
AB_1081,Yes,"Study data, code, or materials indicated at URL"
AB_1082,No URL found,No explicit http/https URL found
AB_1083,Yes,"Study data, code, or materials indicated at URL"
AB_1084,Yes,"Study data, code, or materials indicated at URL"
AB_1085,Yes,URL plausibly provides research-related outputs
AB_1086,Yes,"Study data, code, or materials indicated at URL"
AB_1087,Yes,"Study data, code, or materials indicated at URL"
AB_1088,Yes,"Study data, code, or materials indicated at URL"
AB_1089,Yes,"Study data, code, or materials indicated at URL"
AB_1090,Yes,URL plausibly provides research-related outputs
