NO,Result,Reason
AB_0591,No URL found,Malformed URL (contains space after domain)
AB_0592,Yes,Study resources provided via project website URL
AB_0593,No,URL explicitly refers to license page without study outputs
AB_0594,Yes,Study code and documentation available at repository URLs
AB_0595,No,URL explicitly refers to third-party clinical trial registry
AB_0596,Yes,Study web server and resources available at project URL
AB_0597,No,URL explicitly refers to license page without study outputs
AB_0598,Yes,Study tool and resources available via project website URL
AB_0599,No URL found,No explicit http/https URL found
AB_0600,No URL found,Malformed URL (contains space within URL)
