NO,Result,Reason
AB_0881,Yes,Study data or code available at URL
AB_0882,Yes,Research-related materials plausibly available at URL
AB_0883,Yes,Research-related materials plausibly available at URL
AB_0884,Yes,Research-related materials plausibly available at URL
AB_0885,No URL found,No explicit http/https URL found
AB_0886,Yes,Study data or code available at URL
AB_0887,Yes,Study data or code available at repository URL
AB_0888,Yes,Study data or code available at URL
AB_0889,Yes,Study data or code available at URL
AB_0890,No URL found,No explicit http/https URL found
