NO,Result,Reason
AB_2241,Yes,"Study data, code, or resources available at repository URL"
AB_2242,Yes,"Study data, code, or resources available at repository URL"
AB_2243,Yes,"Study data, code, or resources available at repository URL"
AB_2244,Yes,"Study data, code, or resources available at repository URL"
AB_2245,Yes,"Study data, code, or resources available at repository URL"
AB_2246,Yes,"Study data, code, or resources available at repository URL"
AB_2247,Yes,"Study data, code, or resources available at repository URL"
AB_2248,Yes,"Study data, code, or resources available at repository URL"
AB_2249,Yes,"Study data, code, or resources available at repository URL"
AB_2250,Yes,"Study data, code, or resources available at repository URL"
