NO,Result,Reason
AB_0681,Yes,Study data or code available at repository URL
AB_0682,Yes,Study data or code available at URL
AB_0683,Yes,Research-related materials plausibly available at URL
AB_0684,Yes,Research-related materials plausibly available at URL
AB_0685,Yes,Research-related materials plausibly available at URL
AB_0686,Yes,Study data or code available at URL
AB_0687,Yes,Research-related materials plausibly available at URL
AB_0688,No URL found,No explicit http/https URL found
AB_0689,Yes,Study data or code available at URL
AB_0690,No URL found,No explicit http/https URL found
