NO,Result,Reason
AB_0041,Yes,"Study data, code, or materials available at repository URL"
AB_0042,Yes,"Study data, code, or materials available at repository URL"
AB_0043,Yes,"Study data, code, or materials available at repository URL"
AB_0044,Yes,"Study data, code, or materials available at repository URL"
AB_0045,Yes,"Study data, code, or materials available at repository URL"
AB_0046,No URL found,No explicit http/https URL found
AB_0047,Yes,"Study data, code, or materials available at repository URL"
AB_0048,Yes,"Study data, code, or materials available at repository URL"
AB_0049,Yes,"Study data, code, or materials available at repository URL"
AB_0050,Yes,"Study data, code, or materials available at repository URL"
