NO,Result,Reason
AB_2491,Yes,"Study data, code, or resources available at repository or project URL"
AB_2492,Yes,"Study data, code, or resources available at repository or project URL"
AB_2493,Yes,"Study data, code, or resources available at repository or project URL"
AB_2494,Yes,"Study data, code, or resources available at repository or project URL"
AB_2495,Yes,"Study data, code, or resources available at repository or project URL"
AB_2496,Yes,"Study data, code, or resources available at repository or project URL"
AB_2497,Yes,"Study data, code, or resources available at repository or project URL"
AB_2498,Yes,"Study data, code, or resources available at repository or project URL"
AB_2499,Yes,"Study data, code, or resources available at repository or project URL"
AB_2500,Yes,"Study data, code, or resources available at repository or project URL"
