NO,Result,Reason
AB_1711,No,"URL explicitly refers to registration record, not study outputs"
AB_1712,Yes,Study-related resources available at URL
AB_1713,Yes,Study code available at GitHub repository URL
AB_1714,No,"URL explicitly refers to registration record, not study outputs"
AB_1715,Yes,Study code available at GitHub repository URL
AB_1716,Yes,Study code available at GitHub repository URL
AB_1717,Yes,Study-related resources available at URL
AB_1718,Yes,Study code available at GitHub repository URL
AB_1719,Yes,Study-related resources available at URL
AB_1720,Yes,Study code available at GitHub repository URL
