NO,Result,Reason
AB_3011,Yes,"Study data, code, or resources available at repository or project URL"
AB_3012,Yes,"Study data, code, or resources available at repository or project URL"
AB_3013,Yes,"Study data, code, or resources available at repository or project URL"
AB_3014,Yes,"Study data, code, or resources available at repository or project URL"
AB_3015,Yes,"Study data, code, or resources available at repository or project URL"
AB_3016,Yes,"Study data, code, or resources available at repository or project URL"
AB_3017,Yes,"Study data, code, or resources available at repository or project URL"
AB_3018,Yes,"Study data, code, or resources available at repository or project URL"
AB_3019,Yes,"Study data, code, or resources available at repository or project URL"
AB_3020,Yes,"Study data, code, or resources available at repository or project URL"
