NO,Result,Reason
AB_3111,Yes,Study data or materials available at URL
AB_3112,Yes,Study data or materials available at URL
AB_3113,Yes,Study data or materials available at URL
AB_3114,Yes,Study data or materials available at URL
AB_3115,Yes,Study data or materials available at URL
AB_3116,Yes,Study data or materials available at URL
AB_3117,Yes,Study data or materials available at URL
AB_3118,Yes,Study data or materials available at URL
AB_3119,Yes,Study data or materials available at URL
AB_3120,Yes,Study data or materials available at URL
