NO,Result,Reason
AB_3051,Yes,"Study data, code, or resources available at repository or project URL"
AB_3052,No URL found,No explicit http/https URL found
AB_3053,Yes,"Study data, code, or resources available at repository or project URL"
AB_3054,Yes,"Study data, code, or resources available at repository or project URL"
AB_3055,Yes,"Study data, code, or resources available at repository or project URL"
AB_3056,Yes,"Study data, code, or resources available at repository or project URL"
AB_3057,Yes,"Study data, code, or resources available at repository or project URL"
AB_3058,Yes,"Study data, code, or resources available at repository or project URL"
AB_3059,Yes,"Study data, code, or resources available at repository or project URL"
AB_3060,Yes,"Study data, code, or resources available at repository or project URL"
