NO,Result,Reason
AB_2191,Yes,Study-related resources indicated via URL
AB_2192,Yes,Study-related resources indicated via URL
AB_2193,Yes,Study-related resources indicated via URL
AB_2194,Yes,Study-related resources indicated via URL
AB_2195,Yes,Study-related resources indicated via URL
AB_2196,Yes,Study-related resources indicated via URL
AB_2197,Yes,Study-related resources indicated via URL
AB_2198,Yes,Study-related resources indicated via URL
AB_2199,Yes,Study-related resources indicated via URL
AB_2200,Yes,Study-related resources indicated via URL
