NO,Result,Reason
AB_0531,Yes,Study data or materials available at repository URL
AB_0532,Yes,Study data or materials available at repository URL
AB_0533,Yes,Study data or materials available at repository URL
AB_0534,Yes,Study data or materials available at repository URL
AB_0535,Yes,Study data or materials available at repository URL
AB_0536,Yes,Study data or materials available at repository URL
AB_0537,No URL found,No explicit http/https URL found
AB_0538,Yes,Study data or materials available at repository URL
AB_0539,No URL found,No explicit http/https URL found
AB_0540,Yes,Study data or materials available at repository URL
