NO,Result,Reason
AB_3551,Yes,Study data or materials available at URL
AB_3552,Yes,Study data or materials available at URL
AB_3553,Yes,Study data or materials available at URL
AB_3554,No,URL present but no research outputs indicated
AB_3555,Yes,Study data or materials available at URL
AB_3556,Yes,Study data or materials available at URL
AB_3557,Yes,Study data or materials available at URL
AB_3558,Yes,Study data or materials available at URL
AB_3559,Yes,Study data or materials available at URL
AB_3560,Yes,Study data or materials available at URL
