NO,Result,Reason
AB_0491,No URL found,No explicit http/https URL found
AB_0492,Yes,Study data or materials available at repository URL
AB_0493,No,DOI URL refers only to the article itself
AB_0494,Yes,Study data or materials available at repository URL
AB_0495,Yes,Study data or materials available at repository URL
AB_0496,Yes,Study data or materials available at repository URL
AB_0497,Yes,Study data or materials available at repository URL
AB_0498,Yes,Study data or materials available at repository URL
AB_0499,Yes,Study data or materials available at repository URL
AB_0500,Yes,Study data or materials available at repository URL
