NO,Result,Reason
AB_0411,Yes,Study data or materials available at repository URL
AB_0412,Yes,Study data or materials available at repository URL
AB_0413,Yes,Study data or materials available at repository URL
AB_0414,Yes,Study data or materials available at repository URL
AB_0415,Yes,Study data or materials available at repository URL
AB_0416,Yes,Study data or materials available at repository URL
AB_0417,Yes,Study data or materials available at repository URL
AB_0418,Yes,Study data or materials available at repository URL
AB_0419,Yes,Study data or materials available at repository URL
AB_0420,Yes,Study data or materials available at repository URL
