NO,Result,Reason
AB_0521,Yes,Study data or materials available at repository URL
AB_0522,Yes,Study data or materials available at repository URL
AB_0523,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0524,Yes,Study data or materials available at repository URL
AB_0525,Yes,Study data or materials available at repository URL
AB_0526,Yes,Study data or materials available at repository URL
AB_0527,Yes,Study data or materials available at repository URL
AB_0528,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0529,Yes,Study data or materials available at repository URL
AB_0530,Yes,Study data or materials available at repository URL
