NO,Result,Reason
AB_0811,Yes,Study data or code available at URL
AB_0812,Yes,Study data or code available at repository URL
AB_0813,Yes,Research-related materials plausibly available at URL
AB_0814,Yes,Study data or code available at URL
AB_0815,Yes,Study data or code available at repository URL
AB_0816,Yes,Study data or code available at URL
AB_0817,Yes,Study data or code available at repository URL
AB_0818,Yes,Study data or code available at URL
AB_0819,Yes,Study data or code available at URL
AB_0820,Yes,Study data or code available at URL
