NO,Result,Reason
AB_1671,Yes,Study dataset available via DOI repository URL
AB_1672,Yes,Study code available at GitHub repository URL
AB_1673,Yes,Study code available at GitHub repository URL
AB_1674,Yes,Study code available at GitHub repository URL
AB_1675,Yes,Study code available at GitHub repository URL
AB_1676,Yes,Study-related resources available at URL
AB_1677,Yes,Study-related resources available at URL
AB_1678,Yes,Study code available at GitHub repository URL
AB_1679,No,"URL explicitly refers to registration record, not study outputs"
AB_1680,Yes,Study-related resources available at URL
