NO,Result,Reason
AB_0961,Yes,"Study data, code, or materials indicated at URL"
AB_0962,Yes,"Study data, code, or materials indicated at URL"
AB_0963,Yes,"Study data, code, or materials indicated at URL"
AB_0964,Yes,"Study data, code, or materials indicated at URL"
AB_0965,Yes,URL plausibly provides research-related outputs
AB_0966,Yes,URL plausibly provides research-related outputs
AB_0967,Yes,"Study data, code, or materials indicated at URL"
AB_0968,Yes,URL plausibly provides research-related outputs
AB_0969,Yes,"Study data, code, or materials indicated at URL"
AB_0970,Yes,"Study data, code, or materials indicated at URL"
