NO,Result,Reason
AB_1321,Yes,"Study data, code, or materials indicated at URL"
AB_1322,Yes,"Study data, code, or materials indicated at URL"
AB_1323,Yes,URL plausibly provides research-related outputs
AB_1324,Yes,"Study data, code, or materials indicated at URL"
AB_1325,Yes,"Study data, code, or materials indicated at URL"
AB_1326,Yes,"Study data, code, or materials indicated at URL"
AB_1327,Yes,"Study data, code, or materials indicated at URL"
AB_1328,Yes,"Study data, code, or materials indicated at URL"
AB_1329,Yes,URL plausibly provides research-related outputs
AB_1330,Yes,URL plausibly provides research-related outputs
