NO,Result,Reason
AB_0761,Yes,Research-related materials plausibly available at URL
AB_0762,No,URL explicitly refers to third-party registry without study outputs
AB_0763,Yes,Research-related materials plausibly available at URL
AB_0764,Yes,Study data or code available at URL
AB_0765,Yes,Study data or code available at URL
AB_0766,Yes,Study resources available at project website URL
AB_0767,Yes,Study data or code available at repository URL
AB_0768,Yes,Study data or code available at URL
AB_0769,Yes,Research-related materials plausibly available at URL
AB_0770,No,URL explicitly refers to third-party registry without study outputs
