NO,Result,Reason
AB_1161,Yes,"Study data, code, or materials indicated at URL"
AB_1162,Yes,"Study data, code, or materials indicated at URL"
AB_1163,No URL found,No explicit http/https URL found
AB_1164,No URL found,No explicit http/https URL found
AB_1165,Yes,"Study data, code, or materials indicated at URL"
AB_1166,Yes,"Study data, code, or materials indicated at URL"
AB_1167,Yes,"Study data, code, or materials indicated at URL"
AB_1168,Yes,"Study data, code, or materials indicated at URL"
AB_1169,Yes,URL plausibly provides research-related outputs
AB_1170,Yes,"Study data, code, or materials indicated at URL"
