NO,Result,Reason
AB_3911,Yes,URL plausibly provides research-related outputs
AB_3912,Yes,Study data or materials available at URL
AB_3913,Yes,Study data or materials available at URL
AB_3914,Yes,URL plausibly provides research-related outputs
AB_3915,Yes,Study data or materials available at URL
AB_3916,Yes,Study data or materials available at URL
AB_3917,Yes,Study data or materials available at URL
AB_3918,Yes,Study data or materials available at URL
AB_3919,Yes,URL plausibly provides research-related outputs
AB_3920,Yes,Study data or materials available at URL
